Lat_Decimal,Lon_Decimal,Altitud,Id_mun_agee,NOM_MUN,mortalidad,ids_00_comp
17.998595,-94.635694,48,30048,Cosoleacaque,45,30048
19.527085,-96.922645,1393,30087,Xalapa,931,30087
20.073388,-97.05384,81,30102,Martínez de la Torre,137,30102
17.990978,-94.548444,18,30108,Minatitlán,704,30108
18.850961,-97.098914,1219,30118,Orizaba,853,30118
20.446733,-97.322749,170,30124,Papantla,17,30124
20.534088,-97.443567,50,30131,Poza Rica de Hidalgo,953,30131
18.448668,-95.212571,299,30141,San Andrés Tuxtla,79,30141
20.917143,-97.675531,19,30160,Álamo Temapache,22,30160
20.964297,-97.403927,20,30189,Tuxpan,439,30189
19.190323,-96.153028,8,30193,Veracruz,2095,30193
20.93464,-89.558059,9,31041,Kanasín,4,31041
20.967537,-89.624392,10,31050,Mérida,2595,31050
23.174895,-102.868229,2180,32010,Fresnillo,517,32010
22.746782,-102.518802,2279,32017,Guadalupe,274,32017
22.776096,-102.571836,2427,32056,Zacatecas,485,32056
