Id_mun_agee,NOM_MUN,tasa_mortalidad_20_1,tasa_mortalidad_20_2,tasa_mortalidad_21_1,tasa_mortalidad_21_2,dens_pobl_norm,mortalidad_norm_20_1,mortalidad_norm_20_2,mortalidad_norm_21_1,mortalidad_norm_21_2,pobreza_norm
13069,Tizayuca,63.57619,90.31384,150.32501,48.72194,0.12381,0.29978,0.40656,0.45088,0.19511,0.3326
13076,Tula de Allende,52.12541,189.389,197.20782,77.31936,0.019,0.24494,0.85256,0.59149,0.31199,0.24398
13077,Tulancingo de Bravo,38.60568,138.38652,163.33173,96.21724,0.04364,0.18019,0.62296,0.48989,0.38922,0.4267
14023,Zapotlán el Grande,28.66051,125.06405,77.29653,146.77656,0.02351,0.13256,0.56299,0.23184,0.59586,0.22867
14039,Guadalajara,52.53932,138.99825,212.03367,98.36688,0.52129,0.24692,0.62572,0.63596,0.39801,0.21116
14053,Lagos de Moreno,19.1412,102.66643,124.70781,75.98476,0.00342,0.08697,0.46216,0.37404,0.30654,0.34683
14063,Ocotlán,18.85903,72.60726,100.8958,133.8991,0.02434,0.08562,0.32685,0.30262,0.54323,0.25055
14067,Puerto Vallarta,65.10439,72.98545,44.54511,151.79602,0.02389,0.3071,0.32855,0.13361,0.61637,0.32713
14070,El Salto,15.88992,49.81705,70.431,75.15503,0.14998,0.0714,0.22426,0.21125,0.30314,0.37746
14093,Tepatitlán de Morelos,9.32153,58.59245,96.54438,123.84313,0.00562,0.03995,0.26376,0.28957,0.50213,0.25602
14097,Tlajomulco de Zúñiga,14.70285,42.04741,64.3078,55.9258,0.0574,0.06572,0.18928,0.19288,0.22456,0.31619
14098,San Pedro Tlaquepaque,31.43524,78.58809,121.08388,74.80422,0.34836,0.14585,0.35377,0.36317,0.30171,0.23961
14101,Tonalá,25.79341,69.83522,90.89107,58.95637,0.19474,0.11883,0.31437,0.27261,0.23694,0.34683
14120,Zapopan,19.43798,71.04683,110.39688,72.40139,0.07171,0.08839,0.31983,0.33112,0.29189,0.23085
15002,Acolman,51.89293,88.04305,120.11172,39.06546,0.11562,0.24382,0.39634,0.36026,0.15565,0.53829
15005,Almoloya de Juárez,42.38574,83.05315,140.90396,29.78458,0.02016,0.19829,0.37387,0.42262,0.11772,0.65427
15013,Atizapán de Zaragoza,96.43404,118.58523,182.55632,54.61413,0.32673,0.45714,0.53382,0.54755,0.2192,0.35886
15014,Atlacomulco,52.11,92.33526,163.64368,98.73473,0.02363,0.24486,0.41566,0.49082,0.39951,0.55689
15020,Coacalco de Berriozábal,93.37386,131.88206,237.18324,80.08342,0.47625,0.44248,0.59368,0.71139,0.32329,0.25274
15024,Cuautitlán,66.53732,82.7523,129.16068,37.46219,0.39065,0.31396,0.37252,0.3874,0.1491,0.31291
15025,Chalco,115.23358,84.98789,179.22446,73.98946,0.10339,0.54717,0.38258,0.53756,0.29838,0.57549
15029,Chicoloapan,87.67123,97.63387,130.51059,54.29639,0.21091,0.41517,0.43951,0.39145,0.2179,0.54814
15031,Chimalhuacán,134.9985,85.2249,125.21395,91.32252,0.91083,0.64183,0.38365,0.37556,0.36922,0.69365
15033,Ecatepec de Morelos,136.38419,140.03083,199.16711,113.16727,0.58792,0.64846,0.63036,0.59737,0.4585,0.41575
15035,Huehuetoca,62.48315,41.65544,101.07569,38.59254,0.07753,0.29454,0.18752,0.30316,0.15372,0.46061
15037,Huixquilucan,73.69326,94.04664,140.36812,31.23191,0.11526,0.34823,0.42336,0.42101,0.12363,0.50109
15039,Ixtapaluca,101.98982,97.56349,146.25303,68.05469,0.09381,0.48374,0.43919,0.43866,0.27413,0.53282
15042,Ixtlahuaca,84.30176,75.55936,125.51596,66.1925,0.02662,0.39903,0.34014,0.37647,0.26652,0.77571
15051,Lerma,98.0467,99.80802,152.64755,27.00688,0.04542,0.46486,0.4493,0.45784,0.10637,0.32057
15054,Metepec,97.3971,178.28622,225.74668,30.53977,0.20516,0.46175,0.80258,0.67709,0.12081,0.30306
15057,Naucalpan de Juárez,144.64895,134.82193,194.86263,68.54946,0.30173,0.68804,0.60692,0.58446,0.27615,0.40591
15058,Nezahualcóyotl,183.43718,174.33959,233.00978,123.28167,0.97175,0.8738,0.78481,0.69888,0.49983,0.44858
15060,Nicolás Romero,78.95941,87.08758,137.48226,49.00128,0.10371,0.37345,0.39203,0.41236,0.19626,0.50219
15070,La Paz,145.35266,91.09205,143.37955,70.37437,0.46683,0.69141,0.41006,0.43004,0.28361,0.62582
15074,San Felipe del Progreso,40.71099,45.54111,104.19254,82.80202,0.02186,0.19027,0.20501,0.31251,0.3344,0.76477
15081,Tecámac,74.88543,93.33282,133.14996,62.64806,0.19781,0.35394,0.42015,0.39936,0.25203,0.37965
15087,Temoaya,50.11062,70.91126,101.16673,45.3832,0.03134,0.23529,0.31922,0.30343,0.18147,0.61816
15088,Tenancingo,66.87238,51.58726,147.11923,62.09578,0.03604,0.31556,0.23223,0.44126,0.24977,0.62582
15095,Tepotzotlán,66.54066,76.18423,124.4021,42.43172,0.03089,0.31397,0.34295,0.37312,0.16941,0.44639
15099,Texcoco,82.50409,103.04004,165.00818,67.73261,0.03589,0.39042,0.46385,0.49492,0.27281,0.55689
15104,Tlalnepantla de Baz,144.45063,159.47587,244.12305,73.63858,0.49591,0.68709,0.7179,0.73221,0.29695,0.34136
15106,Toluca,92.57551,146.60535,189.43387,33.60392,0.11382,0.43866,0.65996,0.56818,0.13333,0.50656
15108,Tultepec,92.61315,89.44147,183.32329,62.16499,0.33151,0.43884,0.40263,0.54985,0.25006,0.41247
15109,Tultitlán,118.13898,123.56175,203.54766,58.68215,0.42502,0.56108,0.55623,0.61051,0.23582,0.40153
15114,Villa Victoria,12.01523,31.42445,45.28818,33.27295,0.01403,0.05285,0.14146,0.13583,0.13198,0.72648
15118,Zinacantepec,90.25271,113.30639,171.67635,26.97771,0.03704,0.42753,0.51006,0.51492,0.10625,0.51422
15120,Zumpango,90.92368,89.14086,127.29315,57.76328,0.07072,0.43075,0.40128,0.3818,0.23207,0.57987
