Lat_Decimal,Lon_Decimal,Altitud,Id_mun_agee,NOM_MUN,total_muertes,total_muertes_21,dens_pobl,POBTOT,tasa_mortalidad,tasa_mortalidad_21,pobreza,lat_norm,lon_norm,alt_norm,dens_pobl_norm,mortalidad_norm,pobreza_norm,mortalidad_norm_21,membresias
20.545284,-100.688217,1769,11005,Apaseo el Grande,16,54,280.67381,117883,13.57278,45.80813,41.2,0.62943,0.860182669,0.63633,0.01595,0.0053,0.42518,0.01819,7
20.521524,-100.813573,1760,11007,Celaya,1179,1558,942.43942,521169,226.2222,298.94334,40.5,0.6287,0.86125359,0.63309,0.05356,0.08826,0.41796,0.11868,7
21.1592,-100.917236,1933,11014,Dolores Hidalgo Cuna de la Independencia Nacional,95,191,98.4529,163038,58.26862,117.1506,53.1,0.64824,0.862139186,0.69532,0.0056,0.02273,0.54799,0.04651,14
21.016098,-101.253621,2019,11015,Guanajuato,128,243,191.8146,194500,65.80977,124.93573,33.4,0.64385,0.865012934,0.72626,0.0109,0.02568,0.34469,0.0496,4
20.672801,-101.348117,1719,11017,Irapuato,848,1083,696.77203,592953,143.01302,182.64517,35.5,0.63334,0.865820216,0.61835,0.0396,0.0558,0.36636,0.07251,4
21.121972,-101.6832,1800,11020,León,3039,3329,1408.52291,1721215,176.56132,193.40989,45.9,0.6471,0.868682841,0.64748,0.08005,0.06888,0.47368,0.07678,12
20.431795,-101.725044,1771,11023,Pénjamo,124,262,99.2697,154960,80.02065,169.07589,51.1,0.62595,0.869040316,0.63705,0.00564,0.03122,0.52735,0.06712,14
20.568681,-101.199915,1710,11027,Salamanca,379,469,361.6627,273417,138.61611,171.53286,37.1,0.63015,0.864554122,0.61511,0.02055,0.05408,0.38287,0.0681,4
21.479336,-101.215945,2090,11030,San Felipe,72,115,39.83804,119793,60.10368,95.99893,51.9,0.65804,0.864691067,0.7518,0.00226,0.02345,0.5356,0.03811,14
21.018681,-101.858518,1755,11031,San Francisco del Rincón,31,64,307.93176,130871,23.68745,48.90312,47.3,0.64393,0.870180588,0.63129,0.0175,0.00924,0.48813,0.01941,7
21.298816,-100.515126,2017,11033,San Luis de la Paz,155,334,63.28705,128536,120.58878,259.84938,51.1,0.65251,0.858703947,0.72554,0.0036,0.04705,0.52735,0.10316,14
20.94445,-101.426216,1779,11037,Silao de la Victoria,227,281,377.65492,203556,111.51722,138.04555,43.3,0.64166,0.866487418,0.63993,0.02146,0.04351,0.44685,0.0548,7
20.391322,-101.18143,1726,11042,Valle de Santiago,73,151,182.99268,150054,48.64915,100.63044,47,0.62471,0.864396204,0.62086,0.0104,0.01898,0.48504,0.03995,7
16.861867,-99.886558,18,12001,Acapulco de Juárez,1942,2478,451.13773,779566,249.11297,317.86917,52.1,0.51658,0.853334071,0.00647,0.02564,0.09719,0.53767,0.1262,14
17.594232,-99.177682,1407,12028,Chilapa de Álvarez,57,119,164.96267,123722,46.07103,96.18338,75.2,0.53902,0.84727812,0.50612,0.00938,0.01797,0.77606,0.03819,6
17.551649,-99.501063,1255,12029,Chilpancingo de los Bravo,385,457,129.9193,283354,135.87244,161.28235,55.5,0.53771,0.850040775,0.45144,0.00738,0.05301,0.57276,0.06403,15
18.344549,-99.538368,734,12035,Iguala de la Independencia,373,427,270.00525,154173,241.93601,276.9616,54.5,0.56201,0.850359472,0.26403,0.01535,0.09439,0.56244,0.10996,15
17.650458,-101.548176,13,12038,Zihuatanejo de Azueta,164,219,85.83174,126001,130.1577,173.80814,45.9,0.54074,0.867529327,0.00468,0.00488,0.05078,0.47368,0.069,7
18.557382,-99.604595,1751,12055,Taxco de Alarcón,124,202,162.19048,105586,117.43981,191.31324,75,0.56853,0.850925252,0.62986,0.00922,0.04582,0.77399,0.07595,6
21.139212,-98.420595,140,13028,Huejutla de Reyes,163,185,321.77919,126781,128.56816,145.92092,65.4,0.64762,0.840810302,0.05036,0.01829,0.05016,0.67492,0.05793,8
